pressSN,endTime,startTime,machineState,pressState,State
70001003,2023-04-03T08:43:51.2626505+02:00,2023-04-03T08:43:28.5039963+02:00,GO_TO_STANDBY,Standby,3
70001003,2023-04-03T08:45:00.8073431+02:00,2023-04-03T08:43:51.2626505+02:00,STANDBY,Standby,3
70001003,2023-04-03T08:45:32.7966234+02:00,2023-04-03T08:45:00.8073431+02:00,GET_READY,GetReady,4
70001003,2023-04-03T08:45:58.1698532+02:00,2023-04-03T08:45:32.7966234+02:00,GO_TO_STANDBY,Standby,3
70001003,2023-04-03T08:56:43.021131+02:00,2023-04-03T08:45:58.1698532+02:00,STANDBY,Standby,3
70001002,2023-04-03T09:30:11.4639915-04:00,2023-04-03T08:51:26.4453773-04:00,READY,Ready,5
70001003,2023-04-03T08:56:52.2225083+02:00,2023-04-03T08:56:43.021131+02:00,GO_TO_OFF,Off,1
70001003,2023-04-03T08:58:06.3610935+02:00,2023-04-03T08:56:52.2225083+02:00,OFF,Off,1
70001003,2023-04-03T08:58:58.9035848+02:00,2023-04-03T08:58:06.3610935+02:00,MECH_INIT,Off,1
70001003,2023-04-03T08:59:12.6083946+02:00,2023-04-03T08:58:58.9035848+02:00,STANDBY,Standby,3
70001003,2023-04-03T09:14:33.1174724+02:00,2023-04-03T08:59:12.6083946+02:00,GET_READY,GetReady,4
70001004,2023-04-03T09:13:44.7488049-05:00,2023-04-03T09:13:35.2915919-05:00,GO_TO_OFF,Off,1
70001004,2023-04-03T09:44:10.8245872-05:00,2023-04-03T09:13:44.7488049-05:00,OFF,Off,1
70001003,2023-04-03T09:16:18.7026733+02:00,2023-04-03T09:14:33.1174724+02:00,DYNAMIC_READY,Ready,6
70001003,2023-04-03T09:16:52.3424101+02:00,2023-04-03T09:16:18.7026733+02:00,PRE_PRINT,Print,7
70001003,2023-04-03T09:17:37.8765029+02:00,2023-04-03T09:16:52.3424101+02:00,PRINT,Print,8
70001003,2023-04-03T09:17:46.7311968+02:00,2023-04-03T09:17:37.8765029+02:00,POST_PRINT,Print,7
70001003,2023-04-03T09:19:01.6751418+02:00,2023-04-03T09:17:46.7311968+02:00,DYNAMIC_READY,Ready,6
70001003,2023-04-03T09:20:09.1553109+02:00,2023-04-03T09:19:01.6751418+02:00,PRE_PRINT,Print,7
70001003,2023-04-03T09:24:21.5316193+02:00,2023-04-03T09:20:09.1553109+02:00,PRINT,Print,8
70001003,2023-04-03T09:24:38.2496436+02:00,2023-04-03T09:24:21.5316193+02:00,POST_PRINT,Print,7
70001003,2023-04-03T09:25:06.2670826+02:00,2023-04-03T09:24:38.2496436+02:00,DYNAMIC_READY,Ready,6
70001003,2023-04-03T09:25:49.5557226+02:00,2023-04-03T09:25:06.2670826+02:00,PRE_PRINT,Print,7
70001003,2023-04-03T09:26:10.3112373+02:00,2023-04-03T09:25:49.5557226+02:00,PRINT,Print,8
70001003,2023-04-03T09:26:26.828228+02:00,2023-04-03T09:26:10.3112373+02:00,POST_PRINT,Print,7
70001003,2023-04-03T09:31:02.7699476+02:00,2023-04-03T09:26:26.828228+02:00,DYNAMIC_READY,Ready,6
70001002,2023-04-03T09:35:44.0300696-04:00,2023-04-03T09:30:11.4639915-04:00,PRE_PRINT,Print,7
70001003,2023-04-03T09:31:45.6540135+02:00,2023-04-03T09:31:02.7699476+02:00,PRE_PRINT,Print,7
70001003,2023-04-03T09:32:22.3097475+02:00,2023-04-03T09:31:45.6540135+02:00,PRINT,Print,8
70001003,2023-04-03T09:32:39.033514+02:00,2023-04-03T09:32:22.3097475+02:00,POST_PRINT,Print,7
70001003,2023-04-03T09:35:00.2343302+02:00,2023-04-03T09:32:39.033514+02:00,DYNAMIC_READY,Ready,6
70001003,2023-04-03T09:35:43.9315913+02:00,2023-04-03T09:35:00.2343302+02:00,PRE_PRINT,Print,7
70001003,2023-04-03T09:48:07.7173833+02:00,2023-04-03T09:35:43.9315913+02:00,PRINT,Print,8
70001002,2023-04-03T09:39:53.588532-04:00,2023-04-03T09:35:44.0300696-04:00,PRINT,Print,8
70001002,2023-04-03T09:40:28.4392931-04:00,2023-04-03T09:39:53.588532-04:00,POST_PRINT,Print,7
70001002,2023-04-03T09:48:26.8316519-04:00,2023-04-03T09:40:28.4392931-04:00,READY,Ready,5
70001004,2023-04-03T09:45:06.2115391-05:00,2023-04-03T09:44:10.8245872-05:00,MECH_INIT,Off,1
70001004,2023-04-03T09:46:04.8982799-05:00,2023-04-03T09:45:06.2115391-05:00,STANDBY,Standby,3
70001004,2023-04-03T09:57:15.2573126-05:00,2023-04-03T09:46:04.8982799-05:00,GET_READY,GetReady,4
70001003,2023-04-03T09:48:37.9396764+02:00,2023-04-03T09:48:07.7173833+02:00,POST_PRINT,Print,7
70001002,2023-04-03T09:51:17.2248042-04:00,2023-04-03T09:48:26.8316519-04:00,PRE_PRINT,Print,7
70001003,2023-04-03T09:57:53.2844266+02:00,2023-04-03T09:48:37.9396764+02:00,READY,Ready,5
70001002,2023-04-03T10:03:02.6526619-04:00,2023-04-03T09:51:17.2248042-04:00,PRINT,Print,8
