pressSN,endTime,time,plcTime,machineState,pressState,date
70001002,,10:06:50,2023-03-23T10:09:13.82-04:00,OFF,Off,23/03/2023
70001002,,10:06:58,2023-03-23T10:09:21.892-04:00,MECH_INIT,Off,23/03/2023
70001002,,10:07:47,2023-03-23T10:10:10.556-04:00,STANDBY,Standby,23/03/2023
70001002,,10:07:53,2023-03-23T10:10:17.116-04:00,GET_READY,GetReady,23/03/2023
70001002,,10:11:10,2023-03-23T10:13:33.948-04:00,DYNAMIC_READY,Ready,23/03/2023
70001002,,10:16:21,2023-03-23T10:18:44.573-04:00,PRE_PRINT,Print,23/03/2023
70001002,,10:17:38,2023-03-23T10:20:01.886-04:00,PRINT,Print,23/03/2023
70001002,,10:17:53,2023-03-23T10:20:17.326-04:00,POST_PRINT,Print,23/03/2023
70001002,,10:18:23,2023-03-23T10:20:46.438-04:00,DYNAMIC_READY,Ready,23/03/2023
70001002,,10:28:51,2023-03-23T10:31:15.279-04:00,READY,Ready,23/03/2023
70001002,,11:17:56,2023-03-23T11:20:19.686-04:00,GO_TO_STANDBY,Standby,23/03/2023
70001002,,11:18:02,2023-03-23T11:20:25.886-04:00,STANDBY,Standby,23/03/2023
70001002,,12:23:58,2023-03-23T12:26:21.34-04:00,GO_TO_OFF,Off,23/03/2023
70001002,,12:24:07,2023-03-23T12:26:30.771-04:00,OFF,Off,23/03/2023
70001002,,13:07:17,2023-03-23T13:09:40.692-04:00,MECH_INIT,Off,23/03/2023
70001002,,13:08:05,2023-03-23T13:10:29.165-04:00,STANDBY,Standby,23/03/2023
70001002,,14:30:29,2023-03-23T14:32:53.176-04:00,GO_TO_OFF,Off,23/03/2023
70001002,,14:30:39,2023-03-23T14:33:02.608-04:00,OFF,Off,23/03/2023
70001002,,14:43:38,2023-03-23T14:46:02.115-04:00,GO_TO_SERVICE,Service,23/03/2023
70001002,,14:43:38,2023-03-23T14:46:02.179-04:00,SERVICE,Service,23/03/2023
